SUBJECT,ENTRIES,7,6,5,4,3,2,1,P,N,Average (School),Average (Worldwide)
English,76,3,46,25,2,,,,,,5.7,4.6
French,3,1,1,,1,,,,,,5.7,5.3
German,5,1,3,1,,,,,,,6.0,5.7
Latin,4,,1,2,1,,,,,,5.0,5.0
Spanish,11,2,7,2,,,,,,,6.0,5.2
Economics,118,46,50,19,2,1,,,,,6.2,5.1
Geography,84,27,44,12,1,,,,,,6.2,5.2
Global Politics,28,13,13,2,,,,,,,6.4,5.0
History,37,7,25,4,1,,,,,,6.0,4.4
Philosophy,15,5,9,1,,,,,,,6.3,5.0
Psychology,70,17,42,9,2,,,,,,6.1,4.8
Biology,106,23,51,28,2,1,1,,,,5.9,4.4
Chemistry,96,28,40,18,10,,,,,,5.9,4.7
Computer Science,57,9,22,22,4,,,,,,5.6,4.5
DT,12,,3,5,4,,,,,,4.9,4.6
Physics,63,20,15,19,8,1,,,,,5.7,4.9
Sports Science,15,9,5,1,,,,,,,6.5,4.7
Mathematics,114,23,35,23,25,7,1,,,,5.3,4.9
Music,3,,,1,1,1,,,,,5.7,4.8
Theatre Arts,3,1,2,,,,,,,,6.3,5.0
Visual Arts,6,2,2,2,,,,,,,6.0,4.2
TOTALS,933,237,423,196,64,10,2,,,,,
